24/07/2017 12:40	
RT 1	
	Rat_102_ChR2_MT-partial-5mW_21-07-2017_sea1
t0	*
t1	175
t2	*
t3	*
t4	*
t5	280
t6	*
t7	*
t8	*
t9	184
t10	*
t11	*
t12	*
t13	234
t14	*
t15	*
t16	*
t17	*
t18	*
t19	*
t20	*
t21	*
t22	303
t23	*
t24	*
t25	*
t26	211
t27	*
t28	*
t29	*
t30	*
t31	*
t32	227
t33	*
t34	*
t35	*
t36	*
t37	*
t38	*
t39	*
t40	*
t41	*
t42	151
t43	*
t44	*
t45	210
t46	*
t47	*
t48	*
t49	*
t50	208
t51	*
t52	*
t53	223
t54	*
t55	*
t56	*
t57	*
t58	216
t59	240
t60	*
t61	*
t62	*
t63	*
t64	*
t65	*
t66	*
t67	*
t68	227
t69	*
t70	*
t71	*
t72	*
t73	*
t74	223
t75	268
t76	*
t77	*
t78	*
t79	*
t80	165
t81	*
t82	*
t83	*
t84	*
t85	31
t86	*
t87	205
t88	*
t89	192
t90	*
t91	*
t92	*
t93	*
t94	*
t95	185
t96	*
t97	210
t98	*
t99	*
t100	*
t101	*
t102	*
t103	*
t104	*
t105	*
t106	189
t107	*
t108	*
t109	*
t110	*
t111	*
t112	*
t113	266
t114	319
t115	*
t116	*
t117	*
t118	276
t119	*
t120	327
t121	*
t122	14
t123	*
t124	*
t125	383
t126	*
t127	*
t128	*
t129	*
t130	*
t131	303
t132	*
t133	241
t134	6
t135	281
t136	*
t137	271
t138	*
t139	*
t140	*
t141	248
t142	*
t143	*
t144	*
t145	239
t146	*
t147	*
t148	*
t149	*
t150	316
t151	370
t152	*
t153	*
t154	*
t155	*
t156	*
t157	*
t158	126
t159	*
t160	*
t161	*
t162	199
t163	225
t164	*
t165	*
t166	217
t167	277
t168	*
t169	*
t170	*
t171	*
t172	*
t173	*
t174	*
t175	*
t176	*
t177	379
t178	*
t179	*
t180	*
t181	*
t182	271
t183	*
t184	293
t185	177
t186	255
t187	317
t188	*
t189	247
t190	*
t191	*
t192	*
t193	*
t194	*
t195	235
t196	*
t197	387
t198	*
t199	*
t200	*
t201	257
t202	*
t203	354
t204	*
t205	*
t206	*
t207	*
t208	*
t209	*
t210	246
t211	234
t212	*
t213	*
t214	*
